**********************************************************************
         NONLINEAR CONJUGATE GRADIENT ALGORITHM         
**********************************************************************
     Convergence criterion  :   1.00e-06
     Niter_max              :        100
     Initial cost is        :   4.62e+01
     Initial norm_grad is   :   1.71e+05
**********************************************************************
   Niter      fk         ||gk||       fk/f0        alpha        nls      ngrad    
     0     4.62e+01     1.71e+05     1.00e+00     1.00e-01        0        0
     1     3.76e+01     1.38e+05     8.14e-01     1.00e-01        0        1
     2     3.11e+01     1.46e+05     6.74e-01     5.00e-02        1        3
     3     2.51e+01     1.74e+05     5.43e-01     5.00e-02        0        4
     4     2.36e+01     1.37e+05     5.11e-01     5.00e-02        0        5
     5     2.04e+01     1.45e+05     4.41e-01     3.75e-02        2        8
     6     1.57e+01     1.43e+05     3.39e-01     1.88e-02        1       10
     7     1.30e+01     1.53e+05     2.82e-01     9.38e-03        1       12
     8     1.21e+01     1.39e+05     2.61e-01     9.38e-03        0       13
     9     9.58e+00     1.02e+05     2.07e-01     1.88e-02        3       17
    10     8.28e+00     1.24e+05     1.79e-01     9.38e-03        1       19
    11     7.39e+00     1.23e+05     1.60e-01     4.69e-03        1       21
    12     6.61e+00     1.43e+05     1.43e-01     2.34e-03        1       23
    13     6.26e+00     1.16e+05     1.36e-01     2.34e-03        0       24
    14     5.63e+00     1.16e+05     1.22e-01     7.03e-03        2       27
    15     5.28e+00     1.39e+05     1.14e-01     1.76e-03        2       30
    16     5.06e+00     1.24e+05     1.09e-01     1.76e-03        0       31
    17     4.79e+00     1.19e+05     1.04e-01     1.76e-03        0       32
    18     4.58e+00     1.33e+05     9.91e-02     8.79e-04        1       34
    19     4.44e+00     1.32e+05     9.61e-02     8.79e-04        0       35
    20     4.29e+00     1.32e+05     9.29e-02     8.79e-04        0       36
    21     4.15e+00     1.47e+05     8.98e-02     8.79e-04        0       37
    22     3.98e+00     1.18e+05     8.62e-02     8.79e-04        0       38
    23     3.81e+00     1.37e+05     8.24e-02     8.79e-04        0       39
    24     3.53e+00     1.22e+05     7.64e-02     8.79e-04        0       40
    25     3.49e+00     1.01e+05     7.56e-02     8.79e-04        0       41
    26     3.23e+00     1.16e+05     6.99e-02     4.39e-03        1       43
    27     3.02e+00     1.20e+05     6.54e-02     2.20e-03        1       45
    28     2.92e+00     1.20e+05     6.33e-02     1.10e-03        1       47
    29     2.87e+00     1.21e+05     6.20e-02     1.10e-03        0       48
