**********************************************************************
         STEEEPEST DESCENT ALGORITHM         
**********************************************************************
     Convergence criterion  :   1.00e-08
     Niter_max              :        500
     Initial cost is        :   1.50e+03
     Initial norm_grad is   :   2.15e+05
**********************************************************************
   Niter      fk         ||gk||       fk/f0        alpha        nls      ngrad    
    87     8.40e+01     1.37e+05     5.59e-02     2.98e-04        0      112
    88     8.38e+01     1.23e+05     5.58e-02     2.98e-04        0      113
    89     8.31e+01     2.15e+05     5.53e-02     1.49e-03        1      115
    90     8.28e+01     1.79e+05     5.51e-02     3.73e-04        2      118
    91     8.26e+01     2.18e+05     5.50e-02     3.73e-04        0      119
    92     8.23e+01     1.92e+05     5.48e-02     3.73e-04        0      120
    93     8.22e+01     2.09e+05     5.47e-02     3.73e-04        0      121
    94     8.19e+01     1.74e+05     5.45e-02     3.73e-04        0      122
    95     8.17e+01     2.16e+05     5.44e-02     3.73e-04        0      123
    96     8.15e+01     1.97e+05     5.42e-02     3.73e-04        0      124
    97     8.14e+01     2.05e+05     5.42e-02     3.73e-04        0      125
    98     8.10e+01     1.68e+05     5.39e-02     3.73e-04        0      126
    99     8.09e+01     2.15e+05     5.38e-02     3.73e-04        0      127
   100     8.06e+01     2.02e+05     5.37e-02     3.73e-04        0      128
   101     8.06e+01     2.03e+05     5.37e-02     3.73e-04        0      129
   102     8.02e+01     1.63e+05     5.34e-02     3.73e-04        0      130
   103     8.00e+01     2.11e+05     5.33e-02     3.73e-04        0      131
   104     7.98e+01     2.02e+05     5.31e-02     3.73e-04        0      132
   105     7.96e+01     1.40e+05     5.30e-02     1.86e-04        1      134
   106     7.94e+01     1.22e+05     5.29e-02     1.86e-04        0      135
   107     7.75e+01     1.96e+05     5.16e-02     4.66e-03        2      138
   108     7.71e+01     2.10e+05     5.13e-02     5.82e-04        3      142
   109     7.68e+01     2.02e+05     5.11e-02     2.91e-04        1      144
   110     7.66e+01     1.59e+05     5.10e-02     2.91e-04        0      145
   111     7.64e+01     1.80e+05     5.09e-02     2.91e-04        0      146
   112     7.63e+01     1.41e+05     5.08e-02     2.91e-04        0      147
   113     7.61e+01     1.60e+05     5.07e-02     2.91e-04        0      148
   114     7.60e+01     1.31e+05     5.06e-02     2.91e-04        0      149
   115     7.58e+01     1.48e+05     5.05e-02     2.91e-04        0      150
   116     7.57e+01     1.26e+05     5.04e-02     2.91e-04        0      151
   117     7.55e+01     1.39e+05     5.03e-02     2.91e-04        0      152
   118     7.54e+01     1.23e+05     5.02e-02     2.91e-04        0      153
   119     7.52e+01     1.34e+05     5.01e-02     2.91e-04        0      154
   120     7.51e+01     1.22e+05     5.00e-02     2.91e-04        0      155
   121     7.47e+01     2.27e+05     4.97e-02     1.46e-03        1      157
   122     7.44e+01     2.21e+05     4.95e-02     3.64e-04        2      160
   123     7.42e+01     1.56e+05     4.94e-02     1.82e-04        1      162
   124     7.41e+01     1.22e+05     4.93e-02     1.82e-04        0      163
   125     7.37e+01     1.58e+05     4.91e-02     9.09e-04        1      165
   126     7.36e+01     2.05e+05     4.90e-02     4.55e-04        1      167
   127     7.35e+01     1.76e+05     4.89e-02     2.27e-04        1      169
   128     7.33e+01     1.25e+05     4.88e-02     2.27e-04        0      170
   129     7.32e+01     1.30e+05     4.87e-02     2.27e-04        0      171
   130     7.31e+01     1.22e+05     4.86e-02     2.27e-04        0      172
   131     7.24e+01     2.09e+05     4.82e-02     5.68e-03        2      175
   132     7.10e+01     2.08e+05     4.73e-02     7.11e-04        3      179
   133     7.09e+01     2.07e+05     4.72e-02     3.55e-04        1      181
   134     7.05e+01     2.20e+05     4.70e-02     3.55e-04        0      182
   135     7.04e+01     1.49e+05     4.68e-02     1.78e-04        1      184
   136     7.02e+01     1.18e+05     4.68e-02     1.78e-04        0      185
   137     7.00e+01     1.53e+05     4.66e-02     8.88e-04        1      187
   138     6.99e+01     2.28e+05     4.65e-02     4.44e-04        1      189
   139     6.99e+01     1.86e+05     4.65e-02     2.22e-04        1      191
   140     6.96e+01     1.22e+05     4.63e-02     2.22e-04        0      192
   141     6.95e+01     1.21e+05     4.63e-02     2.22e-04        0      193
   142     6.95e+01     1.14e+05     4.62e-02     2.22e-04        0      194
   143     6.91e+01     1.55e+05     4.60e-02     1.11e-03        1      196
   144     6.90e+01     1.32e+05     4.59e-02     2.78e-04        2      199
   145     6.89e+01     1.41e+05     4.59e-02     2.78e-04        0      200
   146     6.88e+01     1.28e+05     4.58e-02     2.78e-04        0      201
   147     6.87e+01     1.36e+05     4.57e-02     2.78e-04        0      202
   148     6.86e+01     1.25e+05     4.57e-02     2.78e-04        0      203
   149     6.85e+01     1.32e+05     4.56e-02     2.78e-04        0      204
   150     6.84e+01     1.22e+05     4.56e-02     2.78e-04        0      205
   151     6.83e+01     1.29e+05     4.55e-02     2.78e-04        0      206
   152     6.83e+01     1.20e+05     4.54e-02     2.78e-04        0      207
   153     6.82e+01     1.26e+05     4.54e-02     2.78e-04        0      208
   154     6.81e+01     1.18e+05     4.53e-02     2.78e-04        0      209
   155     6.80e+01     1.24e+05     4.52e-02     2.78e-04        0      210
   156     6.79e+01     1.16e+05     4.52e-02     2.78e-04        0      211
   157     6.78e+01     1.22e+05     4.51e-02     2.78e-04        0      212
   158     6.77e+01     1.15e+05     4.51e-02     2.78e-04        0      213
   159     6.76e+01     1.21e+05     4.50e-02     2.78e-04        0      214
   160     6.75e+01     1.14e+05     4.50e-02     2.78e-04        0      215
   161     6.75e+01     1.19e+05     4.49e-02     2.78e-04        0      216
   162     6.74e+01     1.13e+05     4.48e-02     2.78e-04        0      217
   163     6.73e+01     1.18e+05     4.48e-02     2.78e-04        0      218
   164     6.72e+01     1.12e+05     4.47e-02     2.78e-04        0      219
   165     6.71e+01     1.17e+05     4.47e-02     2.78e-04        0      220
   166     6.70e+01     1.11e+05     4.46e-02     2.78e-04        0      221
   167     6.69e+01     1.17e+05     4.46e-02     2.78e-04        0      222
   168     6.69e+01     1.11e+05     4.45e-02     2.78e-04        0      223
   169     6.68e+01     1.16e+05     4.44e-02     2.78e-04        0      224
   170     6.67e+01     1.10e+05     4.44e-02     2.78e-04        0      225
   171     6.66e+01     1.15e+05     4.43e-02     2.78e-04        0      226
   172     6.65e+01     1.10e+05     4.43e-02     2.78e-04        0      227
   173     6.65e+01     1.15e+05     4.42e-02     2.78e-04        0      228
   174     6.64e+01     1.09e+05     4.42e-02     2.78e-04        0      229
   175     6.63e+01     1.15e+05     4.41e-02     2.78e-04        0      230
   176     6.62e+01     1.09e+05     4.41e-02     2.78e-04        0      231
   177     6.61e+01     1.15e+05     4.40e-02     2.78e-04        0      232
   178     6.61e+01     1.09e+05     4.40e-02     2.78e-04        0      233
   179     6.60e+01     1.15e+05     4.39e-02     2.78e-04        0      234
   180     6.59e+01     1.09e+05     4.39e-02     2.78e-04        0      235
   181     6.58e+01     1.15e+05     4.38e-02     2.78e-04        0      236
   182     6.57e+01     1.09e+05     4.38e-02     2.78e-04        0      237
   183     6.57e+01     1.15e+05     4.37e-02     2.78e-04        0      238
   184     6.56e+01     1.09e+05     4.37e-02     2.78e-04        0      239
   185     6.55e+01     1.16e+05     4.36e-02     2.78e-04        0      240
   186     6.54e+01     1.10e+05     4.36e-02     2.78e-04        0      241
   187     6.54e+01     1.17e+05     4.35e-02     2.78e-04        0      242
   188     6.53e+01     1.10e+05     4.35e-02     2.78e-04        0      243
   189     6.52e+01     1.18e+05     4.34e-02     2.78e-04        0      244
   190     6.51e+01     1.12e+05     4.34e-02     2.78e-04        0      245
   191     6.51e+01     1.20e+05     4.33e-02     2.78e-04        0      246
   192     6.50e+01     1.13e+05     4.33e-02     2.78e-04        0      247
   193     6.49e+01     1.22e+05     4.32e-02     2.78e-04        0      248
   194     6.49e+01     1.15e+05     4.32e-02     2.78e-04        0      249
   195     6.48e+01     1.26e+05     4.31e-02     2.78e-04        0      250
   196     6.47e+01     1.18e+05     4.31e-02     2.78e-04        0      251
   197     6.46e+01     1.30e+05     4.30e-02     2.78e-04        0      252
   198     6.46e+01     1.22e+05     4.30e-02     2.78e-04        0      253
   199     6.45e+01     1.35e+05     4.29e-02     2.78e-04        0      254
   200     6.44e+01     1.28e+05     4.29e-02     2.78e-04        0      255
   201     6.44e+01     1.42e+05     4.29e-02     2.78e-04        0      256
   202     6.43e+01     1.34e+05     4.28e-02     2.78e-04        0      257
   203     6.43e+01     1.50e+05     4.28e-02     2.78e-04        0      258
   204     6.42e+01     1.41e+05     4.27e-02     2.78e-04        0      259
   205     6.41e+01     1.58e+05     4.27e-02     2.78e-04        0      260
   206     6.40e+01     1.48e+05     4.26e-02     2.78e-04        0      261
   207     6.40e+01     1.65e+05     4.26e-02     2.78e-04        0      262
   208     6.39e+01     1.55e+05     4.25e-02     2.78e-04        0      263
   209     6.38e+01     1.11e+05     4.25e-02     1.39e-04        1      265
   210     6.38e+01     1.02e+05     4.25e-02     1.39e-04        0      266
   211     6.08e+01     2.09e+05     4.05e-02     1.73e-02        3      270
   212     6.02e+01     1.74e+05     4.01e-02     5.42e-04        5      276
   213     5.98e+01     1.46e+05     3.98e-02     2.71e-04        1      278
   214     5.98e+01     1.83e+05     3.98e-02     2.71e-04        0      279
   215     5.97e+01     1.23e+05     3.97e-02     1.36e-04        1      281
   216     5.96e+01     9.80e+04     3.97e-02     1.36e-04        0      282
